id,job_title,job_info,position_type_id,company,city,location_id,seniority_level_id,work_type,industry_type_id,min_salary,max_salary,avg_salary,company_score,sector,skills
20,Frontend Software Engineer,Unspecified,1,Megaport,Unspecified,52,1,Unspecified,1,84000.0,133000.0,108500.0,3.4,Unspecified,Unspecified
21,Software Engineer,Unspecified,1,"7-Eleven, Inc.",Irving,43,1,Unspecified,1,85000.0,150000.0,117500.0,3.4,Unspecified,Unspecified
22,Software Engineer,Unspecified,1,"Summit Technologies, Inc.",Springfield,21,1,Unspecified,1,48000.0,89000.0,68500.0,4.2,Unspecified,Unspecified
23,Software Development Engineer,Unspecified,3,Adobe,San Jose,5,1,Unspecified,1,66000.0,97000.0,81500.0,2.9,Unspecified,Unspecified
24,Associate Software Engineer,Unspecified,1,The Mitre Corporation,Bedford,21,1,Unspecified,1,108000.0,199000.0,153500.0,4.0,Unspecified,Unspecified
25,Software Engineer - Ha (Hybrid),Unspecified,1,Boston Children'S Hospital,Boston,21,1,Unspecified,1,102000.0,173000.0,137500.0,4.1,Unspecified,Unspecified
26,Engineer - React/Javascript,Unspecified,3,Amex,Sunrise,9,1,Unspecified,1,124000.0,142000.0,133000.0,3.2,Unspecified,Unspecified
27,Software Engineer - Martech,Unspecified,1,Ahold Delhaize Usa,Carlisle,38,1,Unspecified,1,94000.0,133000.0,113500.0,4.0,Unspecified,Unspecified
28,Software Engineers,Unspecified,1,Artera Technologies,Annapolis Junction,20,1,Unspecified,1,70000.0,116000.0,93000.0,4.2,Unspecified,Unspecified
29,Software Engineer,Unspecified,1,Adobe,Lehi,44,1,Unspecified,1,142000.0,178000.0,160000.0,4.3,Unspecified,Unspecified
30,Senior Software Engineer,Unspecified,1,Workiva,Remote,51,4,Unspecified,1,87000.0,135000.0,111000.0,3.5,Unspecified,Unspecified
31,Software Engineer,Unspecified,1,Samsung Electronics,Mountain View,5,1,Unspecified,1,77000.0,182000.0,129500.0,3.4,Unspecified,Unspecified
32,Software Engineer,Unspecified,1,Ipg Photonics,Oxford,21,1,Unspecified,1,101000.0,144000.0,122500.0,3.7,Unspecified,Unspecified
33,Software Engineer,Unspecified,1,Crafty,Chicago,13,1,Unspecified,1,101000.0,168000.0,134500.0,3.3,Unspecified,Unspecified
34,"Software Engineer Iii, Payments",Unspecified,1,"Crunchyroll, Llc",San Francisco,5,4,Unspecified,1,74000.0,118000.0,96000.0,4.2,Unspecified,Unspecified
35,Backend Software Engineer,Unspecified,1,Lego,Irvine,5,1,Unspecified,1,100000.0,200000.0,150000.0,3.9,Unspecified,Unspecified
36,Experienced Software Engineer,Unspecified,1,Principal Financial Group,Des Moines,15,1,Unspecified,1,51000.0,78000.0,64500.0,4.1,Unspecified,Unspecified
37,Security Software Engineer,Unspecified,1,Intel,Phoenix,3,1,Unspecified,1,71000.0,237000.0,154000.0,3.4,Unspecified,Unspecified
38,"Software Engineer, Unreal Engine",Unspecified,1,Hasbro,Renton,47,1,Unspecified,1,87000.0,116000.0,101500.0,4.4,Unspecified,Unspecified
39,Software Engineer,Unspecified,1,Software Engineering Institute,Pittsburgh,38,1,Unspecified,1,116000.0,184000.0,150000.0,4.2,Unspecified,Unspecified
40,Associate Software Engineer,Unspecified,1,University Of Dayton,Dayton,35,1,Unspecified,1,75000.0,103000.0,89000.0,4.4,Unspecified,Unspecified
41,Software Developer,Unspecified,1,Mit,Cambridge,21,3,Unspecified,1,155000.0,221000.0,188000.0,3.7,Unspecified,Unspecified
42,Software Dev Engineer - Computer Science,Unspecified,3,Amazon.Com Services Llc,Seattle,47,1,Unspecified,1,112000.0,165000.0,138500.0,5.0,Unspecified,Unspecified
43,Jr. Software Engineer,Unspecified,1,Daqscribe Solutions,Unspecified,51,1,Unspecified,1,73000.0,109000.0,91000.0,3.9,Unspecified,Unspecified
44,Software Engineer - Libraries,Unspecified,1,West Virginia University,Morgantown,48,1,Unspecified,1,120000.0,150000.0,135000.0,4.5,Unspecified,Unspecified
45,Software Engineer,Unspecified,1,Mckesson,Unspecified,52,1,Unspecified,1,88000.0,124000.0,106000.0,3.9,Unspecified,Unspecified
46,Software Engineer (All Levels),Unspecified,1,Noblis,Chantilly,46,1,Unspecified,1,77000.0,87000.0,82000.0,2.0,Unspecified,Unspecified
47,Software Engineer,Unspecified,1,Eimagine,Unspecified,51,1,Unspecified,1,65000.0,90000.0,77500.0,3.5,Unspecified,Unspecified
48,Software/Database Developer,Unspecified,1,Csl Software Solutions,Burlington,45,3,Unspecified,1,74000.0,101000.0,87500.0,4.1,Unspecified,Unspecified
49,Software Engineer Ii,Unspecified,1,Chewy,Bellevue,47,2,Unspecified,1,74000.0,111000.0,92500.0,3.8,Unspecified,Unspecified
50,Software Test Engineer,Unspecified,4,Erpa,Dublin,35,1,Unspecified,1,147000.0,186000.0,166500.0,4.3,Unspecified,Unspecified
51,"Software Engineer, Incentive",Unspecified,1,Afterpay,Seattle,47,1,Unspecified,1,129000.0,174000.0,151500.0,4.1,Unspecified,Unspecified
52,Software Engineer,Unspecified,1,Harvard University,Boston,21,1,Unspecified,1,89000.0,125000.0,107000.0,5.0,Unspecified,Unspecified
53,Software Development Engineer,Unspecified,3,Brooks Automation,Fremont,5,1,Unspecified,1,165000.0,190000.0,177500.0,3.0,Unspecified,Unspecified
54,Software Engineer,Unspecified,1,Dlrdmv,Dallas,43,1,Unspecified,1,110000.0,160000.0,135000.0,3.5,Unspecified,Unspecified
55,Software Engineer- Frontend,Unspecified,1,Movius Interactive Corporation,Fremont,5,1,Unspecified,1,61000.0,110000.0,85500.0,3.3,Unspecified,Unspecified
56,Software Engineer,Unspecified,1,State Street,Burlington,21,1,Unspecified,1,94000.0,154000.0,124000.0,3.7,Unspecified,Unspecified
57,Junior Software Engineer,Unspecified,1,"Sonalysts, Inc.",Waterford,7,1,Unspecified,1,75000.0,115000.0,95000.0,3.8,Unspecified,Unspecified
58,Software Engineer,Unspecified,1,"Preco, Llc",Somerset,49,1,Unspecified,1,62000.0,106000.0,84000.0,3.6,Unspecified,Unspecified
59,Software Developer,Unspecified,1,Healthstream,Nashville,42,3,Unspecified,1,72000.0,118000.0,95000.0,3.6,Unspecified,Unspecified
60,Software Engineer,Unspecified,1,Aptiv Plc,Troy,22,1,Unspecified,1,75000.0,118000.0,96500.0,4.0,Unspecified,Unspecified
61,Software Engineer - Epic Integrations,Unspecified,1,Zipongo,Remote,51,1,Unspecified,1,98000.0,137000.0,117500.0,3.8,Unspecified,Unspecified
62,Software Engineer - Snowpark,Unspecified,1,Snowflake,Bellevue,47,1,Unspecified,1,113000.0,150000.0,131500.0,3.7,Unspecified,Unspecified
63,Software Engineer (Level 0 - Level Ii),Unspecified,1,Staffed4U,Annapolis Junction,20,2,Unspecified,1,110000.0,140000.0,125000.0,4.2,Unspecified,Unspecified
64,Midlevel Site Reliability Engineer,Unspecified,5,Honeycomb.Io,Unspecified,51,2,Unspecified,1,141000.0,179000.0,160000.0,4.2,Unspecified,Unspecified
65,"Software Engineer, Infrastructure",Unspecified,1,Topaz Labs,Dallas,43,1,Unspecified,1,77000.0,136000.0,106500.0,3.8,Unspecified,Unspecified
66,Software Engineer - Wind,Unspecified,1,Weg Electric Corp,Barre,45,1,Unspecified,1,80000.0,80000.0,80000.0,4.3,Unspecified,Unspecified
67,Software Engineer,Unspecified,1,Brown And Caldwell,Atlanta,10,1,Unspecified,1,79000.0,126000.0,102500.0,4.3,Unspecified,Unspecified
68,Software Engineer Ii,Unspecified,1,Vertafore,Melville,32,2,Unspecified,1,87000.0,119000.0,103000.0,3.7,Unspecified,Unspecified
69,Simulation Software Engineer (Adv00095I),Unspecified,1,"Aerodyne Industries, Llc",Kennedy Space Center,9,1,Unspecified,1,72000.0,94000.0,83000.0,3.1,Unspecified,Unspecified
70,Software Engineer,Unspecified,1,Kairos Inc,Dahlgren,46,1,Unspecified,1,6000.0,7000.0,6500.0,3.5,Unspecified,Unspecified
71,Senior Software Engineer - Photo Ai,Unspecified,1,Topaz Labs,Dallas,43,4,Unspecified,1,68000.0,106000.0,87000.0,3.7,Unspecified,Unspecified
72,Software Engineer- 826245,Unspecified,1,S3,Stennis Space Center,24,1,Unspecified,1,56000.0,88000.0,72000.0,3.8,Unspecified,Unspecified
73,Software Engineer Sr,Unspecified,1,"J. Paul Getty Trust, The",Los Angeles,5,4,Unspecified,1,72000.0,113000.0,92500.0,4.1,Unspecified,Unspecified
74,Software Engineer - Ml Performance / Hpc,Unspecified,1,Topaz Labs,Dallas,43,1,Unspecified,1,90000.0,119000.0,104500.0,3.4,Unspecified,Unspecified
75,"Senior Software Engineer, Orders Team",Unspecified,1,Rover.Com,Seattle,47,4,Unspecified,1,101000.0,135000.0,118000.0,3.2,Unspecified,Unspecified
76,Research Software Engineer,Unspecified,1,University Of Oregon,Eugene,37,1,Unspecified,1,155000.0,180000.0,167500.0,3.8,Unspecified,Unspecified
77,Software Engineer Ii,Unspecified,1,Dōterra International,Utah,44,2,Unspecified,1,85000.0,114000.0,99500.0,4.0,Unspecified,Unspecified
78,Software Engineer,Unspecified,1,Ahu Technologies,Newark,8,1,Unspecified,1,130000.0,160000.0,145000.0,4.6,Unspecified,Unspecified
79,Software Engineer,Unspecified,1,Alstom,Pittsburgh,38,1,Unspecified,1,160000.0,250000.0,205000.0,3.4,Unspecified,Unspecified
80,Software Release Engineer,Unspecified,3,Jack Henry & Associates,Unspecified,51,1,Unspecified,1,100000.0,100000.0,100000.0,2.9,Unspecified,Unspecified
81,Junior Software Systems Engineer,Unspecified,6,Ispa Technology,Washington,47,1,Unspecified,1,120000.0,150000.0,135000.0,3.0,Unspecified,Unspecified
82,Associate Software Engineer - Data Analytics,Unspecified,7,"Universal Health Services, Inc. - Corporate Office",King of Prussia,38,1,Unspecified,1,96000.0,146000.0,121000.0,3.4,Unspecified,Unspecified
83,Associate Software Engineer,Unspecified,1,Relias,Morrisville,33,1,Unspecified,1,107000.0,144000.0,125500.0,3.8,Unspecified,Unspecified
84,Software Engineer,Unspecified,1,Tickrs Clearing,Irvine,5,1,Unspecified,1,138000.0,189000.0,163500.0,3.1,Unspecified,Unspecified
85,Software Engineer,Unspecified,1,Ctc Group,Fort Meade,20,1,Unspecified,1,78000.0,118000.0,98000.0,4.8,Unspecified,Unspecified
86,Jr. Deployment Engineer,Unspecified,3,Gotab Inc,Arlington,46,1,Unspecified,1,113000.0,139000.0,126000.0,3.5,Unspecified,Unspecified
87,Software Developers,Unspecified,1,Ilogic Inc,Township of Hamilton,30,3,Unspecified,1,166400.0,166400.0,166400.0,3.5,Unspecified,Unspecified
88,Software Engineer Ii - Service Now,Unspecified,1,Csx,Jacksonville,9,2,Unspecified,1,70000.0,109000.0,89500.0,3.8,Unspecified,Unspecified
89,Junior Software Engineer,Unspecified,1,Synergy Ecp,Fort Meade,20,1,Unspecified,1,73000.0,117000.0,95000.0,4.4,Unspecified,Unspecified
90,Software Engineer Iii,Unspecified,1,M&T Bank,Wilmington,8,4,Unspecified,1,62000.0,107000.0,84500.0,5.0,Unspecified,Unspecified
91,Software Engineer Iii,Unspecified,1,Cardlytics,Menlo Park,5,4,Unspecified,1,124000.0,169000.0,146500.0,5.0,Unspecified,Unspecified
92,Aws Cloud Engineer,Unspecified,8,"Stefanini, Inc",Richmond,46,1,Unspecified,1,96000.0,117000.0,106500.0,3.8,Unspecified,Unspecified
93,C Software Engineer,Unspecified,1,Innovative Systems,Pittsburgh,38,1,Unspecified,1,84000.0,140000.0,112000.0,3.8,Unspecified,Unspecified
94,"Software Engineer, Full Stack",Unspecified,1,Parabola,Unspecified,51,1,Unspecified,1,66000.0,94000.0,80000.0,3.8,Unspecified,Unspecified
95,Software Engineer I (Python Developer),Unspecified,1,Vibrint,Unspecified,51,1,Unspecified,1,70000.0,120000.0,95000.0,3.5,Unspecified,Unspecified
96,Front End Engineer,Unspecified,3,Millennium Management,Unspecified,51,1,Unspecified,1,78000.0,126000.0,102000.0,4.2,Unspecified,Unspecified
97,Software Engineer,Unspecified,1,Sagitec,Saint Paul,23,1,Unspecified,1,165000.0,209000.0,187000.0,3.9,Unspecified,Unspecified
98,Devops Engineer,Unspecified,5,Careerus Soultions,Unspecified,52,1,Unspecified,1,90000.0,125000.0,107500.0,4.0,Unspecified,Unspecified
99,Sr. Software Engineer,Unspecified,1,Innovien Solutions,Atlanta,10,4,Unspecified,1,116000.0,150000.0,133000.0,3.3,Unspecified,Unspecified
100,Software Engineer,Unspecified,1,Ocean Power Technologies Inc,Unspecified,51,1,Unspecified,1,107000.0,192000.0,149500.0,3.8,Unspecified,Unspecified
101,Software Engineer,Unspecified,1,Riverside Research Institute,Fairborn,35,1,Unspecified,1,79000.0,120000.0,99500.0,4.8,Unspecified,Unspecified
102,Java Software Engineer,Unspecified,1,Staffed4U,Annapolis Junction,20,1,Unspecified,1,94000.0,153000.0,123500.0,5.0,Unspecified,Unspecified
103,Software Engineer Ii,Unspecified,1,Uber Freight,Chicago,13,2,Unspecified,1,84000.0,129000.0,106500.0,5.0,Unspecified,Unspecified
104,Software Engineer,Unspecified,1,Diverse Career Solutions,Unspecified,52,1,Unspecified,1,48000.0,81000.0,64500.0,3.7,Unspecified,Unspecified
105,Software Engineer - Database Engineering,Unspecified,1,Snowflake,Bellevue,47,1,Unspecified,1,82000.0,129000.0,105500.0,4.1,Unspecified,Unspecified
106,Jr Devops Engineer,Unspecified,5,Likewize,Dallas,43,1,Unspecified,1,61000.0,104000.0,82500.0,4.0,Unspecified,Unspecified
107,Senior Software Engineer Ii,Unspecified,1,Massmutual Ascend,Cincinnati,35,4,Unspecified,1,182000.0,244000.0,213000.0,4.0,Unspecified,Unspecified
108,React Developer,Unspecified,1,Washington Dc Government,Remote,51,3,Unspecified,1,96000.0,116000.0,106000.0,4.7,Unspecified,Unspecified
109,Software Developer,Unspecified,1,Anavation,Quantico,46,3,Unspecified,1,68000.0,136000.0,102000.0,3.7,Unspecified,Unspecified
110,Software Engineer,Unspecified,1,3R Info,Canton,22,1,Unspecified,1,93000.0,132000.0,112500.0,3.9,Unspecified,Unspecified
111,Software Developer (Typescript/Javascript),Unspecified,1,Strategic Mission Elements,Chantilly,46,1,Unspecified,1,77000.0,125000.0,101000.0,3.5,Unspecified,Unspecified
112,Senior Software Engineer,Unspecified,1,"Ipsecure, Inc.",Patrick Air Force Base,9,4,Unspecified,1,52000.0,200000.0,126000.0,3.9,Unspecified,Unspecified
113,Software Engineer Ii,Unspecified,1,Relx,Georgia,10,2,Unspecified,1,81000.0,118000.0,99500.0,3.2,Unspecified,Unspecified
114,Software Engineer - Front-End (Solventum),Unspecified,1,Solventum,Maplewood,23,1,Unspecified,1,128000.0,192000.0,160000.0,3.6,Unspecified,Unspecified
115,Cloud Engineer,Unspecified,8,Focus Technology Solutions Inc,Boston,21,1,Unspecified,1,150000.0,225000.0,187500.0,3.0,Unspecified,Unspecified
116,Software Engineer,Unspecified,1,Two Six Technologies,Warrenton,46,1,Unspecified,1,104000.0,104000.0,104000.0,4.1,Unspecified,Unspecified
117,Software Engineer,Unspecified,1,"Adams, Inc.",Tennessee,42,1,Unspecified,1,85000.0,120000.0,102500.0,3.2,Unspecified,Unspecified
118,Junior Software Developer,Unspecified,1,Cps Insurance Services,Phoenix,3,1,Unspecified,1,192000.0,245000.0,218500.0,3.4,Unspecified,Unspecified
119,Software Engineer,Unspecified,1,Cephas,Melbourne,9,1,Unspecified,1,114000.0,182000.0,148000.0,3.1,Unspecified,Unspecified
120,Software Engineer - Java Springboot (Dt),Unspecified,1,Chubb,Whitehouse Station,30,1,Unspecified,1,102000.0,134000.0,118000.0,3.4,Unspecified,Unspecified
121,Software Engineer Iii - Mobile (Multiple Openings),Unspecified,1,Uber Freight,San Francisco,5,4,Unspecified,1,101000.0,160000.0,130500.0,3.6,Unspecified,Unspecified
122,Assoc Software Engineer,Unspecified,1,Consumers Energy,Jackson,22,1,Unspecified,1,90000.0,124000.0,107000.0,4.8,Unspecified,Unspecified
123,Senior Software Engineer,Unspecified,1,U.S. Bank National Association,Hopkins,23,4,Unspecified,1,88000.0,128000.0,108000.0,3.4,Unspecified,Unspecified
124,Software Engineer Iv,Unspecified,1,Medimpact Healthcare Systems,San Diego,5,1,Unspecified,1,83000.0,131000.0,107000.0,3.5,Unspecified,Unspecified
125,Graduate Software Engineer,Unspecified,1,Imc Financial Markets,Chicago,13,1,Unspecified,1,70000.0,90000.0,80000.0,3.1,Unspecified,Unspecified
126,Software Engineer - Normalization,Unspecified,1,Truveta,Seattle,47,1,Unspecified,1,164000.0,182000.0,173000.0,4.0,Unspecified,Unspecified
127,Software Engineer,Unspecified,1,"Signature Science, Llc",Egg Harbor Township,30,1,Unspecified,1,73000.0,92000.0,82500.0,4.2,Unspecified,Unspecified
128,Web Developers,Unspecified,1,Jyg Innovations,Frederick,20,3,Unspecified,1,108000.0,200000.0,154000.0,4.1,Unspecified,Unspecified
129,Software Engineer,Unspecified,1,Vensit,Sayreville,30,1,Unspecified,1,123000.0,160000.0,141500.0,3.5,Unspecified,Unspecified
130,Software Engineer - Apprentice,Unspecified,1,Independent Software,Unspecified,51,1,Unspecified,1,112000.0,141000.0,126500.0,3.9,Unspecified,Unspecified
131,Junior Software Engineer,Unspecified,1,"Visionist, Inc.",Fort Meade,20,1,Unspecified,1,101000.0,160000.0,130500.0,3.5,Unspecified,Unspecified
132,Software Dev Ops Engineer Ii,Unspecified,3,Ncr,Indiana,14,2,Unspecified,1,69000.0,143000.0,106000.0,3.1,Unspecified,Unspecified
133,Senior Software Development Engineer,Unspecified,3,Clearwater Analytics,Seattle,47,4,Unspecified,1,120000.0,140000.0,130000.0,3.6,Unspecified,Unspecified
134,Software Engineer,Unspecified,1,"Technical Intelligence Solutions, Llc",Crystal City,46,1,Unspecified,1,68000.0,120000.0,94000.0,3.0,Unspecified,Unspecified
135,Associate Software Development Engineer - Colleague Experience,Unspecified,3,Cvs Health,Woonsocket,39,1,Unspecified,1,104000.0,136000.0,120000.0,3.8,Unspecified,Unspecified
136,"Associate Engineer, Analytics",Unspecified,7,"Delta Defense, Llc",West Bend,49,1,Unspecified,1,82000.0,115000.0,98500.0,3.9,Unspecified,Unspecified
137,Backend Software Engineer,Unspecified,1,Koalafi,Richmond,46,1,Unspecified,1,161000.0,239000.0,200000.0,3.2,Unspecified,Unspecified
138,Ai Research Engineer,Unspecified,3,Intel,Arizona,3,1,Unspecified,1,107000.0,150000.0,128500.0,4.1,Unspecified,Unspecified
139,Software Engineer,Unspecified,1,No.Inc,Baltimore,20,1,Unspecified,1,91000.0,122000.0,106500.0,5.0,Unspecified,Unspecified
140,Software Engineer Iii,Unspecified,1,F5,Seattle,47,4,Unspecified,1,103000.0,144000.0,123500.0,3.5,Unspecified,Unspecified
141,"Software Engineer, Product",Unspecified,1,Arcadia Science,Berkeley,5,1,Unspecified,1,80000.0,100000.0,90000.0,3.3,Unspecified,Unspecified
142,Firmware (Linux) Dev I,Unspecified,3,Artint Knowledge Tech,Remote,51,1,Unspecified,1,100000.0,128000.0,114000.0,3.5,Unspecified,Unspecified
143,Software Engineer,Unspecified,1,Castellum Inc,Patuxent River,20,1,Unspecified,1,90000.0,180000.0,135000.0,4.1,Unspecified,Unspecified
144,"Senior Software Engineer, Core Experiences",Unspecified,1,Instacart,Remote,51,4,Unspecified,1,110000.0,130000.0,120000.0,3.7,Unspecified,Unspecified
145,Software Engineer (Rxr),Unspecified,1,Walgreens,Deerfield,13,1,Unspecified,1,76000.0,121000.0,98500.0,4.4,Unspecified,Unspecified
146,Software Engineer Iii,Unspecified,1,Duquesne Light,Pittsburgh,38,4,Unspecified,1,88000.0,111000.0,99500.0,3.6,Unspecified,Unspecified
147,Software Engineer,Unspecified,1,Super Micro Computer,San Jose,5,1,Unspecified,1,73000.0,116000.0,94500.0,3.0,Unspecified,Unspecified
148,Software Engineer Senior Â€“ Azure,Unspecified,1,Ucare,Minneapolis,23,4,Unspecified,1,182000.0,273000.0,227500.0,4.4,Unspecified,Unspecified
149,Software Engineer 0,Unspecified,1,Cybercore Technologies,Annapolis Junction,20,1,Unspecified,1,85000.0,113000.0,99000.0,2.6,Unspecified,Unspecified
150,Aws Devops Engineer,Unspecified,5,Coinflip,Chicago,13,1,Unspecified,1,65000.0,95000.0,80000.0,3.5,Unspecified,Unspecified
151,Software Developers (021),Unspecified,1,Bi Labs,Plainsboro,30,3,Unspecified,1,109000.0,168000.0,138500.0,4.1,Unspecified,Unspecified
152,Software Engineers,Unspecified,1,Sahbi Systems,Alabama,1,1,Unspecified,1,80000.0,99000.0,89500.0,4.1,Unspecified,Unspecified
153,Sr Software Engineer,Unspecified,1,Cultura Technologies Inc,Remote,51,4,Unspecified,1,104000.0,153000.0,128500.0,4.4,Unspecified,Unspecified
154,Devops Engineer,Unspecified,5,Excelacom,Denver,6,1,Unspecified,1,78000.0,129000.0,103500.0,4.0,Unspecified,Unspecified
155,Senior Software Engineer,Unspecified,1,Cityblock Health,New York State,32,4,Unspecified,1,82000.0,118000.0,100000.0,4.1,Unspecified,Unspecified
156,Machine Learning Software Engineer,Unspecified,9,Rocket Software,Massachusetts,21,1,Unspecified,1,138000.0,294000.0,216000.0,4.3,Unspecified,Unspecified
157,Software Engineer (Hybrid) - 19943,Unspecified,1,Huntington Ingalls Industries Inc.,Columbia,20,1,Unspecified,1,136000.0,187000.0,161500.0,3.3,Unspecified,Unspecified
159,Software Engineer - Career,Unspecified,1,Equifax,Alpharetta,10,1,Unspecified,1,95000.0,146000.0,120500.0,4.4,Unspecified,Unspecified
160,Software Engineer,Unspecified,1,Super Micro Computer,San Jose,5,1,Unspecified,1,117000.0,161000.0,139000.0,4.0,Unspecified,Unspecified
161,Software Engineer - Remote,Unspecified,1,Akamai,Unspecified,51,1,Unspecified,1,173000.0,173000.0,173000.0,4.0,Unspecified,Unspecified
162,Software Engineer,Unspecified,1,Mailprotector,Remote,51,1,Unspecified,1,104000.0,104000.0,104000.0,4.6,Unspecified,Unspecified
163,Elixir Software Engineer,Unspecified,1,Blockit Now Inc,McKinney,43,1,Unspecified,1,175000.0,250000.0,212500.0,3.8,Unspecified,Unspecified
164,Software Systems Engineer Ts/Sci Ci Poly,Unspecified,6,Tenica And Associates Llc,Las Cruces,31,1,Unspecified,1,55000.0,140000.0,97500.0,4.1,Unspecified,Unspecified
165,Software Engineer Ii,Unspecified,1,Arch Capital Group Ltd.,Greensboro,33,2,Unspecified,1,126000.0,234000.0,180000.0,3.9,Unspecified,Unspecified
166,Software Engineer,Unspecified,1,Lynker Corporation,Stennis Space Center,24,1,Unspecified,1,78000.0,129000.0,103500.0,3.9,Unspecified,Unspecified
167,"Senior Software Engineer, Full Stack, Youtube",Unspecified,1,Youtube,New York,32,4,Unspecified,1,75000.0,102000.0,88500.0,3.2,Unspecified,Unspecified
168,Senior Software Engineer - Us,Unspecified,1,Perforce Software,Remote,51,4,Unspecified,1,115000.0,150000.0,132500.0,4.2,Unspecified,Unspecified
169,Sr. Software Engineer,Unspecified,1,World Vision Usa,Unspecified,51,4,Unspecified,1,115000.0,160000.0,137500.0,3.8,Unspecified,Unspecified
170,Software Engineer,Unspecified,1,Featurespace,Atlanta,10,1,Unspecified,1,82000.0,92000.0,87000.0,5.0,Unspecified,Unspecified
171,Software Engineer,Unspecified,1,Bigbear.Ai,Columbia,20,1,Unspecified,1,120000.0,130000.0,125000.0,3.7,Unspecified,Unspecified
172,Aws Cloud Engineer,Unspecified,8,"Benistar Administrative Services, Inc.",Avon,7,1,Unspecified,1,86000.0,131000.0,108500.0,3.9,Unspecified,Unspecified
173,Cloud Engineer (Remote From Anywhere In Colorado),Unspecified,8,State Of Colorado Job Opportunities,Colorado,6,1,Unspecified,1,92000.0,133000.0,112500.0,4.7,Unspecified,Unspecified
174,Senior Software Engineer - Enterprise People Technology,Unspecified,1,Intellisource Colorado Llc,Bentonville,4,4,Unspecified,1,112000.0,165000.0,138500.0,3.1,Unspecified,Unspecified
175,Software Engineer,Unspecified,1,"First Command Financial Services, Inc.",Unspecified,52,1,Unspecified,1,104000.0,145600.0,124800.0,4.2,Unspecified,Unspecified
176,Post Software Engineer,Unspecified,1,Nbcuniversal,Englewood Cliffs,30,1,Unspecified,1,145000.0,162000.0,153500.0,4.4,Unspecified,Unspecified
177,Cloud Software Engineers,Unspecified,8,Artera Technologies,Unspecified,51,1,Unspecified,1,147000.0,189000.0,168000.0,4.4,Unspecified,Unspecified
178,Engineer (Software),Unspecified,3,Thompson Gray Inc.,Huntsville,1,1,Unspecified,1,72000.0,159000.0,115500.0,4.7,Unspecified,Unspecified
179,Software Engineer - Cudl Modernization,Unspecified,1,Origence,Remote,51,1,Unspecified,1,79000.0,111000.0,95000.0,4.0,Unspecified,Unspecified
