job_title,job_info,position,employer,city,province,skill,seniority,work_type,industry_type,min_salary,max_salary,avg_salary
Systems and Data Analysts,Hr Technology Lead And Data Analyst,Lead,City Of Barrie,Barrie,ON,"Excel, Reason",Senior,In-Person,Technology,95106.71,127429.57,111268.14
Business Systems Analysts,Business Data Analyst,Data Analyst,Accencis Group,Richmond Hill,ON,Undef,ANY,In-Person,Others,90480.0,90480.0,90480.0
Financial and Operational Analysts,(Data-Driven) Marketing Analyst,Analyst,Weyburn Credit Union,Weyburn,SK,"Html, Tableau, Sql, Css, Python, Javascript, R, Power BI",ANY,In-Person,Technology,61181.0,76458.0,68819.5
Financial and Operational Analysts,Quality Analyst,Analyst,Closing The Gap Healthcare,Mississauga,ON,"Gap, Power BI, Excel",ANY,In-Person,Healthcare,50000.0,76458.0,63229.0
Business Systems Analysts,Technology Risk Analyst,Risk Analyst,Bmo Financial Group,Toronto,ON,Undef,ANY,In-Person,Finance,74800.0,138600.0,106700.0
Business and Marketing Analysts,Business Analyst,Business Analyst,Banff Caribou Properties Ltd.,Banff,AB,Sql,ANY,In-Person,Automotive,65000.0,87000.0,76000.0
Senior Business Intelligence Analysts,Technical Support Analyst ,Analyst,Seequent,Toronto,ON,Database,ANY,In-Person,Others,68000.0,88300.0,78150.0
Systems and Data Analysts,Technical Support Analyst - It / Database Management,Analyst,Seequent,Toronto,ON,Database,ANY,In-Person,Others,76000.0,89440.0,82720.0
Systems and Data Analysts,Bioinformatics Systems Analyst,System Analyst,University Of Alberta,Edmonton,AB,"Machine Learning, Database, Database, Html, Git, Matlab, Javascript, Perl, Css, Java, Python, R",ANY,In-Person,Technology,54764.33,73940.15,64352.24
Senior Business Analysts,Senior Systems Analyst,System Analyst,Mackenzie Financial Corporation,Greater Toronto Area,ON,Sql,Senior,In-Person,Finance,30240.56,57200.0,43720.28
Financial and Operational Analysts,Payroll Analyst,Analyst,Cloudmd Software & Services Inc - Can,Remote,Undef,"Excel, Reason, Database",ANY,Remote,Technology,45000.0,57200.0,51100.0
Senior Business Intelligence Analysts,"Analyst, Business Procurement",Analyst,Banque Laurentienne,Montreal,QC,Excel,ANY,In-Person,Others,68000.0,88300.0,78150.0
Senior Business Analysts,Policy Analyst,Analyst,B.C. College Of Nurses And Midwives,Vancouver,BC,"C#, Forth, Excel",ANY,In-Person,Education,104423.0,109644.0,107033.5
Financial and Operational Analysts,Payroll Analyst,Analyst,Cloudmd Software & Services Inc - Can,Remote in Beauceville,QC,"Excel, Reason, Database",ANY,Remote,Technology,45000.0,57200.0,51100.0
Senior Business Intelligence Analysts,Bilingual Senior Analyst Corporate Investigations,Analyst,Canada Life Assurance Company,London,ON,"Power Bi, Excel",Senior,In-Person,Others,54500.0,81800.0,68150.0
Financial and Operational Analysts,Payroll Analyst,Analyst,Cloudmd Software & Services Inc - Can,Remote in Charlottetown,PE,"Excel, Reason, Database",ANY,Remote,Technology,45000.0,57200.0,51100.0
Financial and Operational Analysts,Sustainability Analyst,Analyst,Keewee,Remote,Undef,"Python, Excel",ANY,Remote,Others,50000.0,76458.0,63229.0
Systems and Data Analysts,Data Analyst - Informatics And Systems,System Analyst,Snaplii,Mississauga,ON,"Tableau, Machine Learning, Sql, Database, Excel, Sas, Power Bi, Javascript, Spss",ANY,In-Person,Others,76000.0,89440.0,82720.0
Business and Technical Analysts,C-Ge-916 - Data Analyst,Data Analyst,Cae,Saint-Laurent,QC,"Power BI, Confluence",ANY,In-Person,Others,30240.56,57200.0,43720.28
Systems and Data Analysts,Advanced Data Analyst - Frostbite,Data Analyst,Electronic Arts,Vancouver,BC,"Sql, Aws, Databricks, Gap, Azure, Power Bi, Python",Senior,In-Person,Others,107600.0,147100.0,127350.0
Systems and Data Analysts,"Analyst, Human Resources Analytics",Analyst,Ontario Health,Toronto,ON,Excel,ANY,In-Person,Healthcare,76000.0,89440.0,82720.0
Senior Data Analysts,Technical Data Analyst,Data Analyst,Cnooc International,Calgary,AB,"Database, Excel, Power Bi, Python, R, Database",ANY,In-Person,Others,69000.0,86000.0,77500.0
Senior Data Analysts,Data Analyst - Product,Data Analyst,Appcast,Fredericton,NB,"Tableau, Machine Learning, Sql, Excel, Python",ANY,In-Person,Others,69000.0,86000.0,77500.0
Business Systems Analysts,Data Business Analyst,Business Analyst,"Bridgenext, Inc",Remote,Undef,"Azure, Sql, Python, Tableau, Excel, Databricks, Power Bi, Database",ANY,Remote,Others,85816.8,91520.0,88668.4
Senior Data Analysts,Data Management Analyst,Analyst,Leonardo Drs,Bedford,NS,Undef,ANY,In-Person,Others,69000.0,86000.0,77500.0
Senior Business Analysts,Business Intelligence Analyst,BI Analyst,Autodesk,Toronto,ON,"Tableau, Sql, D3.Js, Power Bi, Python, R",ANY,In-Person,Others,66000.0,84500.0,75250.0
Business and Marketing Analysts,Research Analyst,Analyst,Insurance Bureau Of Canada,Toronto,ON,"Excel, Excel",ANY,In-Person,Insurance,65000.0,87000.0,76000.0
Systems and Data Analysts,Part-Time Data Quality Analyst (Fraud Investigation),Analyst,Owl.Co,Remote in Toronto,ON,Undef,ANY,Remote,Others,41600.0,57200.0,49400.0
Senior Business Intelligence Analysts,It Cost Business Analyst,Business Analyst,Ingersoll Rand,Barrie,ON,Excel,ANY,In-Person,Others,68000.0,88300.0,78150.0
Senior Business Analysts,"Analyst, Business Intelligence",BI Analyst,Bell,Toronto,ON,"Sql, Confluence, Sas, Jira, Teradata",ANY,In-Person,Others,66000.0,84500.0,75250.0
Senior Business Analysts,Senior Data Engineering Analyst,Data Engineer,Loblaw Companies Limited,Brampton,ON,"Sql, Python, Confluence, Excel, Java, Teradata, Jira",Senior,In-Person,Technology,66000.0,84500.0,75250.0
Senior Business Intelligence Analysts,Principal Services Operations Analyst,Analyst,Dayforce,Remote,Undef,"Power Bi, Excel, Database",Senior,Remote,Others,83500.0,149300.0,116400.0
Senior Business Analysts,Senior Systems Analyst,System Analyst,Ig Wealth Management,Toronto,ON,Sql,Senior,In-Person,Others,30240.56,57200.0,43720.28
Senior Data Analysts,Treasury Data Analyst,Data Analyst,Gfl Environmental,Vaughan,ON,"Sql, Database, Crystal, Excel",ANY,In-Person,Others,69000.0,86000.0,77500.0
Senior Business Intelligence Analysts,Business Intelligence Specialist,Data Specialist,Ramp Group,Surrey,BC,Undef,Senior,In-Person,Others,95680.0,95680.0,95680.0
Senior Business Analysts,Senior Business Analyst,Business Analyst,Evolution Mining,Red Lake,ON,Undef,Senior,In-Person,Others,66000.0,84500.0,75250.0
Senior Business Analysts,Associate It Business Analyst,Data Associate,Manulife,Toronto,ON,Database,Mid,In-Person,Others,30240.56,57200.0,43720.28
Senior Business Intelligence Analysts,Decision Support Analyst,Analyst,Erinoakkids Center For Treatment And Development,Mississauga,ON,"Sql, Excel, Database",ANY,In-Person,Construction,68000.0,88300.0,78150.0
Senior Business Intelligence Analysts,"Analyst, Digital Advisory Federal Government",Analyst,Mnp,Ottawa,ON,Excel,ANY,In-Person,Others,68000.0,88300.0,78150.0
Financial and Operational Analysts,Data-Driven Marketing Analyst,Analyst,Weyburn Credit Union,Weyburn,SK,"Html, Tableau, Sql, Css, Python, Javascript, R, Power BI",ANY,In-Person,Technology,61181.0,76458.0,68819.5
Senior Supply Chain Data Analysts,Fpss Quality Coordination Analyst,Analyst,City Of Winnipeg,Winnipeg,MB,"Crystal, Excel, Database",ANY,In-Person,Technology,68500.0,87000.0,77750.0
Business Systems Analysts,"Analyst, Business - Computer Systems",System Analyst,Techvest Global Solutions Inc.,Toronto,ON,Undef,ANY,In-Person,Technology,105000.0,105000.0,105000.0
Senior Supply Chain Data Analysts,"Business Systems Analyst 10 Yrs (Sql, Big Data, Credit Risk, Banking Loan Book, Python)",Risk Analyst,Compest Solutions Inc,Toronto,ON,"Sql, Big Data, Hadoop, Python, Jupyter",ANY,In-Person,Consulting,104000.0,120640.0,112320.0
Business and Technical Analysts,Admn O 24R - Policy Analyst,Analyst,Bc Public Service,Abbotsford,BC,Eagle,ANY,In-Person,Service,76071.18,86658.48,81364.82999999999
Senior Supply Chain Data Analysts,"Analyst, Business Performance, Bilingual Or English",Analyst,Nordia,Laval,QC,Undef,ANY,In-Person,Others,68500.0,87000.0,77750.0
Senior Business Intelligence Analysts,Business Intelligence Specialist,Data Specialist,Ramp Technology Group Inc.,Surrey,BC,"Github, Aws, Sql",Senior,In-Person,Technology,95680.0,95680.0,95680.0
Business and Technical Analysts,Continuous Improvement/Business Analyst,Business Analyst,Fleetoptics Inc,Mississauga,ON,"Power Bi, Excel",ANY,In-Person,Others,64123.59,86600.0,75361.795
Business and Marketing Analysts,Research Analyst,Analyst,University Of Toronto,Toronto,ON,"Sas, Big Data, R",ANY,In-Person,Technology,30240.56,75223.0,52731.78
Financial and Operational Analysts,"Analyst, Transaction Management",Analyst,Groupe Optimum Inc.,Montreal,QC,Excel,ANY,In-Person,Others,100000.0,100000.0,100000.0
Business Systems Analysts,Business Systems Analyst (Computer Services Officer 3),Data Officer,Province Of Nova Scotia,Halifax,NS,Power Platform,ANY,In-Person,Others,69000.1,84021.08,76510.59
Business Systems Analysts,"Business Systems Analyst, Capital Markets Technology, Derivative Products",System Analyst,Scotiabank,Toronto,ON,"Sql, Gap, Excel",ANY,In-Person,Finance,85816.8,91520.0,88668.4
Business and Marketing Analysts,Business Analyst Manager,Manager,Midland Transport,Dieppe,NB,Excel,Senior,In-Person,Real Estate,65000.0,87000.0,76000.0
Senior Business Intelligence Analysts,Senior Business Intelligence Specialist,Data Specialist,Tolko Industries Ltd.,Vernon,BC,"Fabric, Ssis, Sql, Databricks, Azure, Ssrs",Senior,In-Person,Others,79500.0,106000.0,92750.0
Senior Supply Chain Data Analysts,"Analyst Sr, Strategy & Business Dev.",Analyst,Bombardier,Dorval,QC,Undef,Senior,In-Person,Others,68500.0,87000.0,77750.0
Senior Business Analysts,Teknaform Senior Business Analyst,Business Analyst,Teknaform Inc.,Bolton,ON,Excel,Senior,In-Person,Others,90000.0,110000.0,100000.0
Senior Business Analysts,Senior Business Analyst,Business Analyst,Ivey Business School Foundation,London,ON,Sql,Senior,In-Person,Education,82800.0,103500.0,93150.0
Senior Business Intelligence Analysts,Contact Center Business Analyst,Business Analyst,Global Excel Management,Sherbrooke,QC,"Genesys, Excel",ANY,In-Person,Others,68000.0,88300.0,78150.0
Business and Marketing Analysts,Investment Reporting Analyst,Analyst,Omers,Toronto,ON,"Power Bi, Excel, SQL",ANY,In-Person,Others,65000.0,87000.0,76000.0
Senior Supply Chain Data Analysts,"Analyst, Capital Gov & Reporting",Analyst,Epcor,Edmonton,AB,"Power Bi, Excel",ANY,In-Person,Others,107931.2,128814.4,118372.8
Business and Marketing Analysts,Marketing Analyst,Analyst,Oliver Agency - North America,Toronto,ON,"Tableau, Power Bi, Sql, Excel, Vba, Python, R",ANY,In-Person,Others,65000.0,87000.0,76000.0
Business and Marketing Analysts,"Analyst, Marketing",Analyst,Wipro Comnet Inc.,Brampton,ON,Database,ANY,In-Person,Others,79040.0,79040.0,79040.0
Business and Marketing Analysts,Project Analyst,Analyst,Aryze Developments Inc.,Victoria,BC,Excel,ANY,In-Person,Construction,68000.0,85000.0,76500.0
Business Systems Analysts,Business Systems Analyst,System Analyst,Air Train Freight Systems Inc,Mississauga,ON,Undef,ANY,In-Person,Transportation,59072.0,59072.0,59072.0
Financial and Operational Analysts,Pricing & Revenue Management Analyst,Analyst,Flair Airlines Ltd.,Vancouver,BC,Crystal,ANY,In-Person,Others,50000.0,76458.0,63229.0
Business and Marketing Analysts,Business Analyst,Business Analyst,Tc Energie,Calgary,AB,"Power Bi, Power Platform",ANY,In-Person,Others,65000.0,87000.0,76000.0
Senior Business Analysts,Marketing Science Analyst,Analyst,Lululemon,Vancouver,BC,"Python, Sql, Power BI, R",ANY,In-Person,Others,105800.0,138800.0,122300.0
Business Systems Analysts,Business Systems Analyst,System Analyst,Star Tech Infosystems Ltd.,Calgary,AB,C,ANY,In-Person,Technology,98176.0,98176.0,98176.0
Senior Supply Chain Data Analysts,Ndt Eddy Current Data Analyst - Project Manager,Manager,"Acuren Inspection, Inc.",Edmonton,AB,Undef,Senior,In-Person,Others,68500.0,87000.0,77750.0
Senior Business Intelligence Analysts,Accounting Analyst And Supervisor,Analyst,Maggas Medical Inc.,North York,ON,Excel,ANY,In-Person,Healthcare,50000.0,70000.0,60000.0
Senior Supply Chain Data Analysts,Sr. Pricing Analyst,Analyst,Collins Aerospace,Oakville,ON,Excel,Senior,In-Person,Aerospace,68500.0,87000.0,77750.0
Business Systems Analysts,Business Systems Analyst,System Analyst,Pressreader,Richmond,BC,"Power Platform, Power Bi, Excel, Database",ANY,In-Person,Media,70000.0,85000.0,77500.0
Senior Business Intelligence Analysts,"'Senior Manager, Business Intelligence And Reporting, Enterprise Insider Risk Management",Manager,Td Bank,Toronto,ON,"R, C",Senior,In-Person,Finance,68000.0,88300.0,78150.0
Senior Business Intelligence Analysts,"'Senior Manager, Business Intelligence And Reporting, Enterprise Conduct Risk Management",Manager,Td Bank,Toronto,ON,Undef,Senior,In-Person,Finance,68000.0,88300.0,78150.0
Senior Supply Chain Data Analysts,Lead Business Systems Analyst (Sap Successfactors),Lead,Magic Leap - Multiple Locations,Remote,Undef,"C#, Database",Senior,Remote,Others,68500.0,87000.0,77750.0
Financial and Operational Analysts,Treasury Analyst,Analyst,City Of Richmond Bc,Richmond,BC,Excel,ANY,In-Person,Technology,83345.6,98404.8,90875.2
Senior Supply Chain Data Analysts,Total Rewards Analyst,Analyst,Sait Polytechnic,Calgary,AB,Excel,ANY,In-Person,Technology,65000.0,85000.0,75000.0
Systems and Data Analysts,"Fcm - Data Quality Analyst- Remote, Canada",Analyst,Fcm,Remote,Undef,Power BI,ANY,Remote,Others,87000.0,87000.0,87000.0
Senior Business Intelligence Analysts,Data Analyst (Street Operations),Data Analyst,The City Of Vancouver,Vancouver,BC,"Power Bi, Excel, Big Data, Sql",ANY,In-Person,Technology,87443.2,103272.0,95357.6
Business and Technical Analysts,Res O 21R - Data Analyst,Data Analyst,Bc Public Service,Burnaby,BC,"Python, Sql, R",ANY,In-Person,Service,69760.7,79322.69,74541.695
Senior Data Analysts,Data Analyst,Data Analyst,Fraser Health,Surrey,BC,"Sql, Sas, R, Tableau, Vbscript, Power Bi, Python",ANY,In-Person,Healthcare,79289.59999999999,113984.0,96636.8
Senior Data Analysts,Data Centre Analyst,Analyst,Translink,Metro Vancouver Regional District,BC,C,ANY,In-Person,Others,30240.56,57200.0,43720.28
Business Systems Analysts,Business Configuration Analyst,Analyst,Medavie Blue Cross,Remote,Undef,"Power BI, Sql",ANY,Remote,Healthcare,85816.8,91520.0,88668.4
Systems and Data Analysts,Performance Data Analyst (Internal Only),Intern,Macewan University,Edmonton,AB,"Database, Power Bi, Sql",ANY,In-Person,Technology,137280.0,180000.0,158640.0
Senior Business Intelligence Analysts,Business Intelligence Developer,Developer,Novartis,Montreal,QC,"Power Bi, Sql, Alteryx, Snowflake, Database",ANY,In-Person,Others,68000.0,88300.0,78150.0
Senior Supply Chain Data Analysts,Intermediate Data Support Analyst (6-Month Contract),Analyst,Agf Management Limited,Toronto,ON,"Eagle, Sql, Excel, Vba, Database",Mid,In-Person,Technology,30240.56,57200.0,43720.28
Senior Data Analysts,Program Data Analyst,Data Analyst,Nova Scotia School Boards (Nssb),Berwick,NS,Excel,ANY,In-Person,Education,46531.0,58164.0,52347.5
Senior Data Analysts,Quantitative Data Analyst,Quantitative Analyst,The Mustard Seed Society,Calgary,AB,"Tableau, Sql, Php, Excel, Power Bi, Python, Vba, R",ANY,In-Person,Others,69000.0,86000.0,77500.0
Systems and Data Analysts,Methods Analyst I - Wellness Data Analyst,Data Analyst,City Of Edmonton,Edmonton,AB,"Power Bi, Excel",Junior,In-Person,Technology,81239.9,101495.59,91367.745
Financial and Operational Analysts,"Analyst, Local Sales Pricing",Analyst,Sysco Food Services,Remote in Moncton,NB,"Maple, Excel, Sql",ANY,Remote,Service,45016.0,93603.0,69309.5
Business and Technical Analysts,Jr. Qa Analyst,Analyst,Indikor.Com,Remote,Undef,"Sql, Github, C#, Gitlab, Javascript",Junior,Remote,Others,64123.59,86600.0,75361.795
Financial and Operational Analysts,"Analyst, Local Sales Pricing",Analyst,Sysco Food Services,Remote in Mount Pearl,NL,"Maple, Excel, Sql",ANY,Remote,Service,45016.0,93603.0,69309.5
Financial and Operational Analysts,"Analyst, Local Sales Pricing",Analyst,Sysco Food Services,Remote in Milton,ON,"Maple, Excel, Sql",ANY,Remote,Service,45016.0,93603.0,69309.5
Systems and Data Analysts,"Senior Analyst, Data Integration, Methods And Tools",Analyst,Canadian Institute For Health Information,Ottawa,ON,"Python, R, Machine Learning",Senior,In-Person,Technology,76000.0,89440.0,82720.0
Financial and Operational Analysts,"Analyst, Local Sales Pricing",Analyst,Sysco Food Services,Remote in Boucherville,QC,"Maple, Excel, Sql",ANY,Remote,Service,45016.0,93603.0,69309.5
Senior Data Analysts,"Business Data Analyst, Reporting & Audit",Data Analyst,Partnerre,Toronto,ON,"Vba, Sql, Power Bi, Alteryx",ANY,In-Person,Others,69000.0,86000.0,77500.0
Financial and Operational Analysts,"Analyst, Local Sales Pricing",Analyst,Sysco Food Services,Remote in Woodstock,ON,"Maple, Excel, Sql",ANY,Remote,Service,45016.0,93603.0,69309.5
Business Systems Analysts,Business Systems Analyst (Technical),System Analyst,Bmo Financial Group,Toronto,ON,"Database, Sql",ANY,In-Person,Finance,74800.0,138600.0,106700.0
Financial and Operational Analysts,"Analyst, Local Sales Pricing",Analyst,Sysco Food Services,Remote in Ottawa,ON,"Maple, Excel, Sql",ANY,Remote,Service,45016.0,93603.0,69309.5
Senior Business Analysts,Senior Business Analyst (Data),Business Analyst,Healthcare Of Ontario Pension Plan (Hoopp),Toronto,ON,"Snowflake, Sql, Eagle",Senior,In-Person,Healthcare,30240.56,57200.0,43720.28
Systems and Data Analysts,Supply Chain & Master Data Analyst,Data Analyst,Longo'S,Vaughan,ON,"Excel, Factor",ANY,In-Person,Others,30240.56,57200.0,43720.28
Senior Supply Chain Data Analysts,"Business Analyst Student, Transportation Analytics (12 Months) - Fall 2024",Business Analyst,Canadian Tire Corporation,Mississauga,ON,"Power Bi, Tableau, Excel, Sql",ANY,In-Person,Others,30240.56,57200.0,43720.28
Financial and Operational Analysts,"Analyst, Local Sales Pricing",Analyst,Sysco Food Services,Remote in Kelowna,BC,"Maple, Excel, Sql",ANY,Remote,Service,45016.0,93603.0,69309.5
Financial and Operational Analysts,"Analyst, Local Sales Pricing",Analyst,Sysco Food Services,Remote in Lakeside,NS,"Maple, Excel, Sql",ANY,Remote,Service,45016.0,93603.0,69309.5
Business and Marketing Analysts,Business Analyst,Business Analyst,Tc Energy,Calgary,AB,"Power Bi, Power Platform",ANY,In-Person,Energy,65000.0,87000.0,76000.0
Senior Supply Chain Data Analysts,"Business Data Analyst, Retro Admin",Data Analyst,Partnerre,Toronto,ON,"Vba, Sql, Alteryx",ANY,In-Person,Others,68500.0,87000.0,77750.0
Financial and Operational Analysts,"Analyst, Local Sales Pricing",Analyst,Sysco Food Services,Remote in Mississauga,ON,"Maple, Excel, Sql",ANY,Remote,Service,45016.0,93603.0,69309.5
Senior Supply Chain Data Analysts,Blue Box Analyst,Analyst,Canadian Tire Corporation,Toronto,ON,"Power Bi, Excel, Sql",ANY,In-Person,Others,30240.56,57200.0,43720.28
Senior Supply Chain Data Analysts,"Business Analyst Student, Courier Operations (12 Months) - Fall 2024",Business Analyst,Canadian Tire Corporation,Mississauga,ON,"Tableau, Sql, Excel, Power Bi, Python",ANY,In-Person,Others,30240.56,57200.0,43720.28
Financial and Operational Analysts,"Analyst, Local Sales Pricing",Analyst,Sysco Food Services,Remote in Winnipeg,MB,"Maple, Excel, Sql",ANY,Remote,Service,45016.0,93603.0,69309.5
Business and Marketing Analysts,"Analyst, Global Investment Banking, Global Diversified Industries",Analyst,Cibc,Toronto,ON,Excel,ANY,In-Person,Others,65000.0,87000.0,76000.0
Financial and Operational Analysts,"Analyst, Local Sales Pricing",Analyst,Sysco Food Services,Remote in Regina,SK,"Maple, Excel, Sql",ANY,Remote,Service,45016.0,93603.0,69309.5
Senior Business Intelligence Analysts,Business Intelligence Consulting Associate - Summer 2025,Data Associate,Rsm Us Llp,Vancouver,BC,"Sql, Database, Excel, SQL, Html, Database",Mid,In-Person,Others,63800.0,76125.0,69962.5
Financial and Operational Analysts,"Analyst, Local Sales Pricing",Analyst,Sysco Food Services,Remote in Victoria,BC,"Maple, Excel, Sql",ANY,Remote,Service,45016.0,93603.0,69309.5
Database Analysts,Programmer Analyst,Programmer,University Of British Columbia,Vancouver,BC,"Sql, Database, Tableau, Database, Power BI, Ssrs, C#, Qlikview, Excel",ANY,In-Person,Technology,30240.56,57200.0,43720.28
Financial and Operational Analysts,"Analyst, Local Sales Pricing",Analyst,Sysco Food Services,Remote in Port Coquitlam,BC,"Maple, Excel, Sql",ANY,Remote,Service,45016.0,93603.0,69309.5
Financial and Operational Analysts,"Analyst, Local Sales Pricing",Analyst,Sysco Food Services,Remote in Toronto,ON,"Maple, Excel, Sql",ANY,Remote,Service,45016.0,93603.0,69309.5
Financial and Operational Analysts,Servicing Analyst,Analyst,Bmo Financial Group,Toronto,ON,Undef,ANY,In-Person,Finance,37500.0,69500.0,53500.0
Senior Business Intelligence Analysts,Financial Data Analyst And Report Developer,Developer,Stir Consulting Inc.,Montreal,QC,"Python, Vba, Sql",ANY,In-Person,Consulting,104000.0,104000.0,104000.0
Financial and Operational Analysts,"Analyst, Local Sales Pricing",Analyst,Sysco Food Services,Remote in Thunder Bay,ON,"Maple, Excel, Sql",ANY,Remote,Service,45016.0,93603.0,69309.5
Senior Business Analysts,Senior Qa Analyst,Analyst,Viv Technologies Inc.,Remote in Toronto,ON,Undef,Senior,Remote,Technology,66000.0,84500.0,75250.0
Senior Business Intelligence Analysts,Principal Business Continuity Analyst,Analyst,Dayforce,Remote,Undef,Database,Senior,Remote,Others,83500.0,149300.0,116400.0
Financial and Operational Analysts,"Analyst, Local Sales Pricing",Analyst,Sysco Food Services,Remote in Calgary,AB,"Maple, Excel, Sql",ANY,Remote,Service,45016.0,93603.0,69309.5
Senior Supply Chain Data Analysts,It Business Analyst - Regular Full-Time,Business Analyst,District Of Squamish,Squamish,BC,"C#, Database",ANY,In-Person,Others,87734.4,87734.4,87734.4
Business Systems Analysts,"Business Systems Analyst, Capital Markets Technology, Hybrid",System Analyst,Scotiabank,Toronto,ON,"Sql, Perl, Shell, Python, Html, Excel, Gap, Java",ANY,Hybrid,Finance,85816.8,91520.0,88668.4
Financial and Operational Analysts,"Analyst, Local Sales Pricing",Analyst,Sysco Food Services,Remote in Edmonton,AB,"Maple, Excel, Sql",ANY,Remote,Service,45016.0,93603.0,69309.5
Business and Technical Analysts,"Business Analyst, Servicenow, Scotiabank",Business Analyst,Scotiabank,Toronto,ON,Database,ANY,In-Person,Finance,64123.59,86600.0,75361.795
Senior Business Intelligence Analysts,Customs Compliance Analyst,Analyst,Panasonic Corporation,Mississauga,ON,Excel,ANY,In-Person,Others,68000.0,88300.0,78150.0
Senior Supply Chain Data Analysts,Business Analyst- Captial Markets @ Toronto - Hybrid - Fulltime,Business Analyst,Atlantis It Group,Toronto,ON,Undef,ANY,Hybrid,Technology,68500.0,87000.0,77750.0
Database Analysts,Database Analyst,Analyst,Tei Web Solutions,North Vancouver,BC,Database,ANY,In-Person,Consulting,79040.0,81120.0,80080.0
Senior Supply Chain Data Analysts,"Senor. Analyst, People Process & Technology",Analyst,Loblaw Companies Limited,Brampton,ON,Undef,ANY,In-Person,Technology,68500.0,87000.0,77750.0
